model,auc_raw,auc_sigmoid,auc_isotonic,auc_temp,brier_raw,brier_sigmoid,brier_isotonic,brier_temp,logloss_raw,logloss_sigmoid,logloss_isotonic,logloss_temp,f2_raw
botabnet,0.7572004663230905,0.7572004663230906,0.756512857775461,0.7572004575816743,0.2003338369235572,0.19956031812214742,0.19979217288975765,0.19981416002868077,0.5875910269128807,0.5845523331010168,0.5871147230747712,0.5850785714494121,0.749423520368947
xgboost,0.8087152584865647,0.8087152584865648,0.8081747679752759,0.8087152584865647,0.18152719162881994,0.17937880022248415,0.1785338945781964,0.17889109830330852,0.541126529671817,0.53335599489842,0.5294568074211723,0.5312608279607668,0.7454146417933846
random_forest,0.8385397645891135,0.8385397645891135,0.83798617069479,0.8385397645891135,0.16997258280270583,0.1644479950001916,0.16436943956394384,0.16476132355755965,0.515326110200121,0.4979646230967953,0.5006355443354994,0.498000933637383,0.7834269078810564
lightgbm,0.8281516752513494,0.8281516752513494,0.8278726667258636,0.8281516752513494,0.17299702165707892,0.17030820202367192,0.16880434523200352,0.1697089327254029,0.5204143967755603,0.5100808307791992,0.5010588598967327,0.5074820647396527,0.7477558111985679
catboost,0.8408325506706249,0.8408325506706249,0.8402357304726944,0.8408325506706249,0.16395943393456083,0.16313598157179973,0.1621571391453301,0.16246833405634012,0.4915441204136559,0.4897254867755046,0.48162511340673053,0.48577609536560334,0.746510270155512
adaboost,0.7275303860809099,0.7275303860809099,0.7278329527233262,0.7275303860809099,0.24104228656058044,0.212353881727901,0.20948733936392203,0.2197815065156684,0.6912476490182239,0.6134266006674243,0.6070794713678517,0.6301541308034284,0.7962008075108236
naive_bayes,0.7224163078883468,0.7224163078883468,0.7220118425561131,0.7222443292640467,0.24687892772996883,0.21326649304948128,0.2125017531456557,0.21746224375143353,0.9790130828907774,0.6158401017713323,0.6158894473763226,0.6316059102464716,0.7422448256667172
stacking,0.8566989380525372,0.8566989380525372,0.856456022834957,0.8566989380525372,0.1546391332609203,0.1547040412299595,0.15396162839639158,0.1546293236762886,0.47164554683684384,0.47103043743901163,0.4695726411031753,0.47104572117750404,0.7683043040923289
voting,0.8307521941523106,0.8307521941523106,0.8301679615938532,0.8307521941523106,0.17343224147842162,0.16901551750161037,0.16816299591057401,0.16878059046853613,0.5230673369119514,0.5079737939243942,0.504323394763685,0.5063427309568587,0.7682869524356498
