feature,importance
age,0.18527420977759715
waist,0.07814029168035604
con_alcohol,0.07488667728714578
sex,0.06862695440005397
Ave_SBP,0.06744855662920701
smoke_status,0.05102404178554325
pa_met,0.05091362279088837
anthro_group,0.04653304503375229
binge_drink,0.04265522694750385
tri,0.04077308066389453
Ave_DBP,0.038376934621055195
ldl,0.03641225911798673
currentsmoking,0.028594600523294586
hdl,0.027993068683385514
ldl_hdl_ratio,0.026685984087814824
alcohol,0.026131754112486996
drnk_30days,0.02417060343705999
hemoglobin,0.021999067601765933
vita,0.01972983833904204
ever_smk,0.019613179234147845
drnk_30d_num,0.014431312695403434
uic,0.009585690550614716
