age_group,prevalence,n_atrisk,n_total,prevalence_pct
10-19,0.07782597601428937,305,3919,7.782597601428937
20-29,0.1338221136043842,1807,13503,13.38221136043842
30-39,0.2708896700919416,4007,14792,27.08896700919416
40-49,0.39197847257816504,6118,15608,39.197847257816505
50-59,0.4898840809273526,6804,13889,48.988408092735256
60-69,0.5087437185929649,5062,9950,50.87437185929649
70-79,0.47084442293733364,1946,4133,47.08444229373336
80+,0.40704845814977975,462,1135,40.70484581497797
